Job Title,Employment Type,Experience Level,Expertise Level,Salary,Salary Currency,Company Location,Company Size,Year
Data Engineer,Full-Time,Senior,Expert,116455,United States Dollar,United States,Medium,2023
Business Intelligence Analyst,Full-Time,Senior,Expert,145000,United States Dollar,United States,Medium,2023
Business Intelligence Analyst,Full-Time,Senior,Expert,125000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,95000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,76000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,160000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,131000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,168000,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,250000,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,140000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,145000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,222000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,166500,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,205600,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,105700,United States Dollar,United States,Medium,2023
Business Intelligence Developer,Full-Time,Senior,Expert,138000,United States Dollar,United States,Medium,2023
Business Intelligence Developer,Full-Time,Senior,Expert,67000,United States Dollar,United States,Medium,2023
Research Engineer,Full-Time,Senior,Expert,211200,United States Dollar,United States,Medium,2023
Research Engineer,Full-Time,Senior,Expert,176000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,230000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,135000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Mid,Intermediate,60000,United States Dollar,United States,Medium,2023
Business Intelligence Analyst,Full-Time,Senior,Expert,200000,United States Dollar,United States,Medium,2023
Business Intelligence Analyst,Full-Time,Senior,Expert,180000,United States Dollar,United States,Medium,2023
BI Analyst,Full-Time,Senior,Expert,360000,Turkish Lira,Turkey,Large,2023
Data Scientist,Full-Time,Senior,Expert,155000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,139500,United States Dollar,United States,Medium,2023
Research Scientist,Full-Time,Entry,Junior,200000,United States Dollar,United States,Medium,2023
